expectation_name,system,system_oid,code,ucum_code,low,high
Ambulatory systolic BP between 10.0 and 250.0 mm[Hg],http://snomed.info/sct,urn:oid:2.16.840.1.113883.6.96,198081000000101,mm[Hg],10.0,250.0
Bilirubin; total between 1.0 and 398.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82247,mg/dL,1.0,398.0
Bilirubin; direct between 1.0 and 148.0 10*-3.eq/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82248,10*-3.eq/L,1.0,148.0
Calcium; total between 7.0 and 13.0 mg/mL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82310,mg/mL,7.0,13.0
Carbon dioxide (bicarbonate) between 2.0 and 42.0 10*-3.eq/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82374,10*-3.eq/L,2.0,42.0
Chloride; blood between 95.0 and 111.0 10*-3.eq/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82435,10*-3.eq/L,95.0,111.0
Creatine between 1.0 and 20.0 mg/dL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82540,mg/dL,1.0,20.0
"Creatine kinase (CK), (CPK); total between 1.0 and 242.0 10*-3.eq/L",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82550,10*-3.eq/L,1.0,242.0
Creatinine; blood between 10.0 and 200.0 umol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82565,umol/L,10.0,200.0
Creatinine; other source between 10.0 and 200.0 umol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82570,umol/L,10.0,200.0
Ferritin between 0.0 and 70.0 10*3/uL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,82728,10*3/uL,0.0,70.0
Hemoglobin; glycosylated (A1C) between 0.0 and 200.0 pg/mL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83036,pg/mL,0.0,200.0
Iron between 0.0 and 270.0 ng/mL,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83540,ng/mL,0.0,270.0
Lactate (lactic acid) between 0.0 and 100.0 mmol/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83605,mmol/L,0.0,100.0
Lipase between 0.0 and 100.0 %,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83690,%,0.0,100.0
"Lipoprotein, direct measurement; high density cholesterol (HDL cholesterol) between 5.0 and 150.0 mg/dL",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83718,mg/dL,5.0,150.0
"Lipoprotein, direct measurement; LDL cholesterol between 0.0 and 100.0 %",http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83721,%,0.0,100.0
Magnesium between 0.0 and 10.0 10*-3.eq/L,http://www.ama-assn.org/go/cpt,urn:oid:2.16.840.1.113883.6.12,83735,10*-3.eq/L,0.0,10.0
