expectation_name,system,code,ucum_code,low,high
White Oak IgE Ab [Units/volume] in Serum between 0.0 and 100.0 %,http://loinc.org,6189-5,%,0.0,100.0
Peanut IgE Ab [Units/volume] in Serum between 4.0 and 1000.0 %,http://loinc.org,6206-7,%,4.0,1000.0
"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI) between 10.0 and 150.0 mL/min/1.73.m2",http://loinc.org,62238-1,mL/min/1.73.m2,10.0,150.0
25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma between 10.0 and 1000.0 pg/mL,http://loinc.org,62292-8,pg/mL,10.0,1000.0
Soybean IgE Ab [Units/volume] in Serum between 0.0 and 100.0 %,http://loinc.org,6248-9,%,0.0,100.0
"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI) between 10.0 and 120.0 mL/min",http://loinc.org,62238-1,mL/min,10.0,120.0
25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma between 5.0 and 1000.0 ng/mL,http://loinc.org,62292-8,ng/mL,5.0,1000.0
Potassium [Moles/volume] in Blood between 3.0 and 8.0 10*-3.eq/L,http://loinc.org,6298-4,10*-3.eq/L,3.0,8.0
Urea nitrogen [Mass/volume] in Blood between 0.0 and 1000.0 mg/dL,http://loinc.org,6299-2,mg/dL,0.0,1000.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 V,http://loinc.org,6301-6,V,0.0,30.0
Potassium [Moles/volume] in Blood between 3.0 and 10.0 mmol/L,http://loinc.org,6298-4,mmol/L,3.0,10.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 pc,http://loinc.org,6301-6,pc,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 ms,http://loinc.org,6301-6,ms,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 kg,http://loinc.org,6301-6,kg,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 [pnt],http://loinc.org,6301-6,[pnt],0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 mg/dL,http://loinc.org,6301-6,mg/dL,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 10*6/mL,http://loinc.org,6301-6,10*6/mL,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 mmol/L,http://loinc.org,6301-6,mmol/L,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 mL,http://loinc.org,6301-6,mL,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 cm,http://loinc.org,6301-6,cm,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 mg,http://loinc.org,6301-6,mg,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 s,http://loinc.org,6301-6,s,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 %,http://loinc.org,6301-6,%,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 .,http://loinc.org,6301-6,.,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.01 and 30.0 {ratio},http://loinc.org,6301-6,{ratio},0.01,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 L,http://loinc.org,6301-6,L,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 F,http://loinc.org,6301-6,F,0.0,30.0
INR in Platelet poor plasma by Coagulation assay between 0.0 and 30.0 [U],http://loinc.org,6301-6,[U],0.0,30.0
Troponin T.cardiac [Mass/volume] in Serum or Plasma between 1.0 and 40.0 ng/mL,http://loinc.org,6598-7,ng/mL,1.0,40.0
Troponin T.cardiac [Mass/volume] in Serum or Plasma between 0.0 and 10.0 ug/L,http://loinc.org,6598-7,ug/L,0.0,10.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 150.0 kPa,http://loinc.org,6690-2,kPa,0.0,150.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 10.0 g{creat},http://loinc.org,6690-2,g{creat},0.0,10.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 180.0 10*3/mL,http://loinc.org,6690-2,10*3/mL,0.0,180.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 11.0 10*3/mm3,http://loinc.org,6690-2,10*3/mm3,0.0,11.0
Leukocytes [#/volume] in Blood by Automated count between 0.01 and 11.0 10*3/uL,http://loinc.org,6690-2,10*3/uL,0.01,11.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 150.0 mg/dL,http://loinc.org,6690-2,mg/dL,0.0,150.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 11.0 10*6/mL,http://loinc.org,6690-2,10*6/mL,0.0,11.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 9000.0 mm3,http://loinc.org,6690-2,mm3,0.0,9000.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 10000.0 /uL,http://loinc.org,6690-2,/uL,0.0,10000.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 100.0 %,http://loinc.org,6690-2,%,0.0,100.0
Leukocytes [#/volume] in Blood by Automated count between 0.0 and 11.0 [U],http://loinc.org,6690-2,[U],0.0,11.0
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma between 20.0 and 731.0 [iU]/L,http://loinc.org,6768-6,[iU]/L,20.0,731.0
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma between 1.0 and 236.0 mg/dL,http://loinc.org,6768-6,mg/dL,1.0,236.0
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma between 4.2 and 37.0 g/dL,http://loinc.org,6768-6,g/dL,4.2,37.0
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma between 20.0 and 731.0 [U]/L,http://loinc.org,6768-6,[U]/L,20.0,731.0
"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood between 10.0 and 150.0 mL/min/1.73.m2",http://loinc.org,69405-9,mL/min/1.73.m2,10.0,150.0
"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood between 5.0 and 200.0 mL/min",http://loinc.org,69405-9,mL/min,5.0,200.0
Basophils [#/volume] in Blood by Automated count between 0.0 and 400.0 10*9/L,http://loinc.org,704-7,10*9/L,0.0,400.0
Basophils [#/volume] in Blood by Manual count between 0.01 and 1.0 10*3/mm3,http://loinc.org,705-4,10*3/mm3,0.01,1.0
Basophils/100 leukocytes in Blood by Automated count between 0.001 and 1000.0 %,http://loinc.org,706-2,%,0.001,1000.0
Blasts [#/volume] in Blood by Manual count between 1.0 and 326.0 10*3/uL,http://loinc.org,708-8,10*3/uL,1.0,326.0
Blasts/100 leukocytes in Blood by Manual count between 0.0 and 112.0 10*3/uL,http://loinc.org,709-6,10*3/uL,0.0,112.0
Basophils [#/volume] in Blood by Automated count between 0.0 and 400000.0 10*3/mL,http://loinc.org,704-7,10*3/mL,0.0,400000.0
Basophils [#/volume] in Blood by Manual count between 0.0 and 0.4 10*3/uL,http://loinc.org,705-4,10*3/uL,0.0,0.4
Blasts/100 leukocytes in Blood by Manual count between 0.0 and 328.0 10*6/mL,http://loinc.org,709-6,10*6/mL,0.0,328.0
Basophils [#/volume] in Blood by Automated count between 0.0 and 400000000.0 10*3/L,http://loinc.org,704-7,10*3/L,0.0,400000000.0
Basophils [#/volume] in Blood by Manual count between 7.0 and 350.0 /uL,http://loinc.org,705-4,/uL,7.0,350.0
Basophils [#/volume] in Blood by Automated count between 0.0 and 400000000000.0 /L,http://loinc.org,704-7,/L,0.0,400000000000.0
Basophils [#/volume] in Blood by Automated count between 0.001 and 400.0 10*3/mm3,http://loinc.org,704-7,10*3/mm3,0.001,400.0
Basophils [#/volume] in Blood by Automated count between 0.001 and 400.0 10*3/uL,http://loinc.org,704-7,10*3/uL,0.001,400.0
Basophils [#/volume] in Blood by Automated count between 0.0 and 1.0 10*6/mL,http://loinc.org,704-7,10*6/mL,0.0,1.0
Basophils [#/volume] in Blood by Automated count between 0.001 and 400.0 /uL,http://loinc.org,704-7,/uL,0.001,400.0
Basophils [#/volume] in Blood by Automated count between 0.001 and 100.0 %,http://loinc.org,704-7,%,0.001,100.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 1.0 g{tot'prot},http://loinc.org,711-2,g{tot'prot},0.0,1.0
Eosinophils [#/volume] in Blood by Manual count between 0.0 and 3.0 10*3/mm3,http://loinc.org,712-0,10*3/mm3,0.0,3.0
Eosinophils/100 leukocytes in Blood by Automated count between 0.0 and 100.0 %,http://loinc.org,713-8,%,0.0,100.0
Eosinophils/100 leukocytes in Blood by Manual count between 0.0 and 1000.0 10*3/uL,http://loinc.org,714-6,10*3/uL,0.0,1000.0
Hematocrit [Pure volume fraction] of Blood by Automated count between 1.0 and 50.0 %,http://loinc.org,71833-8,%,1.0,50.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 20.0 mg/kg,http://loinc.org,718-7,mg/kg,0.0,20.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 1.0 10*9/L,http://loinc.org,711-2,10*9/L,0.0,1.0
Eosinophils/100 leukocytes in Blood by Manual count between 0.0 and 10.0 %,http://loinc.org,714-6,%,0.0,10.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 15.0 m,http://loinc.org,718-7,m,0.0,15.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 1.0 10*3/mL,http://loinc.org,711-2,10*3/mL,0.0,1.0
Eosinophils [#/volume] in Blood by Manual count between 0.0 and 600.0 /uL,http://loinc.org,712-0,/uL,0.0,600.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 115.0 kg,http://loinc.org,718-7,kg,0.0,115.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 1.0 /L,http://loinc.org,711-2,/L,0.0,1.0
Eosinophils [#/volume] in Blood by Manual count between 0.0 and 10.0 %,http://loinc.org,712-0,%,0.0,10.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 17.0 [pnt],http://loinc.org,718-7,[pnt],0.0,17.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 1.0 10*3/mm3,http://loinc.org,711-2,10*3/mm3,0.0,1.0
Hemoglobin [Mass/volume] in Blood between 0.0 and 4000.0 [oz_av],http://loinc.org,718-7,[oz_av],0.0,4000.0
Eosinophils [#/volume] in Blood by Automated count between 0.0 and 1.0 10*3/uL,http://loinc.org,711-2,10*3/uL,0.0,1.0
